filename,fret_offset
page-7_fret-0.png,0
page-7_fret-1.png,5
page-7_fret-2.png,12
page-7_fret-3.png,9
page-7_fret-4.png,5
page-7_fret-5.png,9
page-7_fret-6.png,12
page-7_fret-7.png,2
page-7_fret-8.png,5
page-7_fret-9.png,9
page-8_fret-0.png,2
page-8_fret-1.png,7
page-8_fret-2.png,2
page-8_fret-3.png,11
page-8_fret-4.png,2
page-8_fret-5.png,7
page-8_fret-6.png,11
page-8_fret-7.png,4
page-8_fret-8.png,7
page-8_fret-9.png,11
page-9_fret-0.png,0
page-9_fret-1.png,8
page-9_fret-2.png,3
page-9_fret-3.png,12
page-9_fret-4.png,3
page-9_fret-5.png,8
page-9_fret-6.png,12
page-9_fret-7.png,5
page-9_fret-8.png,8
page-9_fret-9.png,12
page-10_fret-0.png,0
page-10_fret-1.png,10
page-10_fret-2.png,5
page-10_fret-3.png,2
page-10_fret-4.png,2
page-10_fret-5.png,5
page-10_fret-6.png,10
page-10_fret-7.png,2
page-10_fret-8.png,7
page-10_fret-9.png,10
page-11_fret-0.png,0
page-11_fret-1.png,12
page-11_fret-2.png,7
page-11_fret-3.png,4
page-11_fret-4.png,4
page-11_fret-5.png,7
page-11_fret-6.png,12
page-11_fret-7.png,4
page-11_fret-8.png,9
page-11_fret-9.png,12
page-12_fret-0.png,1
page-12_fret-1.png,1
page-12_fret-2.png,8
page-12_fret-3.png,5
page-12_fret-4.png,1
page-12_fret-5.png,5
page-12_fret-6.png,8
page-12_fret-7.png,1
page-12_fret-8.png,5
page-12_fret-9.png,10
page-13_fret-0.png,0
page-13_fret-1.png,3
page-13_fret-2.png,10
page-13_fret-3.png,7
page-13_fret-4.png,3
page-13_fret-5.png,7
page-13_fret-6.png,10
page-13_fret-7.png,3
page-13_fret-8.png,7
page-13_fret-9.png,12
page-14_fret-0.png,4
page-14_fret-1.png,4
page-14_fret-2.png,11
page-14_fret-3.png,8
page-14_fret-4.png,4
page-14_fret-5.png,8
page-14_fret-6.png,11
page-14_fret-7.png,1
page-14_fret-8.png,4
page-14_fret-9.png,8
page-15_fret-0.png,0
page-15_fret-1.png,6
page-15_fret-2.png,1
page-15_fret-3.png,10
page-15_fret-4.png,1
page-15_fret-5.png,6
page-15_fret-6.png,10
page-15_fret-7.png,3
page-15_fret-8.png,6
page-15_fret-9.png,10
page-16_fret-0.png,0
page-16_fret-1.png,9
page-16_fret-2.png,4
page-16_fret-3.png,1
page-16_fret-4.png,1
page-16_fret-5.png,4
page-16_fret-6.png,9
page-16_fret-7.png,1
page-16_fret-8.png,6
page-16_fret-9.png,9
page-17_fret-0.png,0
page-17_fret-1.png,11
page-17_fret-2.png,6
page-17_fret-3.png,3
page-17_fret-4.png,6
page-17_fret-5.png,3
page-17_fret-6.png,11
page-17_fret-7.png,11
page-17_fret-8.png,3
page-17_fret-9.png,8
page-18_fret-0.png,2
page-18_fret-1.png,2
page-18_fret-2.png,9
page-18_fret-3.png,6
page-18_fret-4.png,2
page-18_fret-5.png,6
page-18_fret-6.png,9
page-18_fret-7.png,2
page-18_fret-8.png,6
page-18_fret-9.png,11
page-19_fret-0.png,0
page-19_fret-1.png,6
page-19_fret-2.png,1
page-19_fret-3.png,10
page-19_fret-4.png,1
page-19_fret-5.png,6
page-19_fret-6.png,10
page-19_fret-7.png,3
page-19_fret-8.png,6
page-19_fret-9.png,10
page-20_fret-0.png,0
page-20_fret-1.png,9
page-20_fret-2.png,4
page-20_fret-3.png,1
page-20_fret-4.png,1
page-20_fret-5.png,4
page-20_fret-6.png,9
page-20_fret-7.png,1
page-20_fret-8.png,6
page-20_fret-9.png,9
page-21_fret-0.png,0
page-21_fret-1.png,11
page-21_fret-2.png,6
page-21_fret-3.png,3
page-21_fret-4.png,6
page-21_fret-5.png,3
page-21_fret-6.png,11
page-21_fret-7.png,11
page-21_fret-8.png,3
page-21_fret-9.png,8
page-22_fret-0.png,2
page-22_fret-1.png,2
page-22_fret-2.png,9
page-22_fret-3.png,6
page-22_fret-4.png,2
page-22_fret-5.png,6
page-22_fret-6.png,9
page-22_fret-7.png,2
page-22_fret-8.png,6
page-22_fret-9.png,11
page-23_fret-0.png,4
page-23_fret-1.png,4
page-23_fret-2.png,11
page-23_fret-3.png,8
page-23_fret-4.png,4
page-23_fret-5.png,8
page-23_fret-6.png,11
page-23_fret-7.png,1
page-23_fret-8.png,4
page-23_fret-9.png,8
page-25_fret-0.png,0
page-25_fret-1.png,5
page-25_fret-2.png,12
page-25_fret-3.png,7
page-25_fret-4.png,5
page-25_fret-5.png,8
page-25_fret-6.png,12
page-25_fret-7.png,1
page-25_fret-8.png,5
page-25_fret-9.png,9
page-26_fret-0.png,0
page-26_fret-1.png,7
page-26_fret-2.png,2
page-26_fret-3.png,9
page-26_fret-4.png,2
page-26_fret-5.png,7
